"fecha","Comunidad","vac_80+","por_80+","vac_70-79","por_70-79","vac_60-69","por_60-69","vac_50-59","por_50-59","vac_40-49","por_40-49","vac_25-39","por_25-39","vac_18-24","por_18-24","vac_16-17","por_16-17","tot_vac","pobl_tot","por_tot" 
"2021-06-14","Asturias",88288,100.0,113072,100.0,140450,93.9,138780,85.3,71366,42.7,21232,13.7,4844,8.9,63,0.4,578095,901209,64.1
"2021-06-14","Baleares",50588,100.0,76952,95.6,98248,83.8,126155,76.1,88613,43.0,27653,10.7,4637,5.4,48,0.2,472894,986279,47.9
"2021-06-14","Canarias",91090,100.0,146733,95.0,205409,87.4,260938,74.4,147241,38.0,59103,13.3,8708,5.3,128,0.3,919350,1871033,49.1
"2021-06-14","Cantabria",42096,100.0,55459,100.0,72700,94.0,72391,80.5,24045,24.6,12923,13.4,1906,5.5,19,0.2,281539,501384,56.2
"2021-06-14","Castilla y León",228226,100.0,248088,100.0,305127,95.8,305569,80.2,70158,19.3,49250,13.1,9721,6.7,127,0.3,1216266,2092873,58.1
"2021-06-14","Castilla la Mancha",137136,100.0,156806,98.6,208210,95.3,264962,86.2,139764,42.3,42769,11.3,8351,5.6,121,0.3,958119,1719964,55.7
"2021-06-14","Cataluña",454511,100.0,608056,95.7,725337,86.6,873164,80.0,431144,32.7,190744,12.8,53356,9.6,1054,0.7,3337366,6531658,51.1
"2021-06-14","C. Valenciana",294254,100.0,427731,97.7,529485,91.2,605757,80.5,189246,22.2,110347,12.1,22380,6.3,233,0.2,2179433,4269305,51.0
"2021-06-14","Extremadura",77962,100.0,95219,100.0,127978,100.0,149569,88.4,55379,34.7,23741,12.3,2983,3.9,77,0.4,532908,911213,58.5
"2021-06-14","Galicia",240392,100.0,287572,99.2,331496,95.6,368890,90.9,150185,33.9,49914,11.2,6844,4.5,49,0.1,1435342,2362643,60.8
"2021-06-14","La Rioja",23285,100.0,28430,100.0,36586,97.0,40792,85.6,11875,22.4,7634,14.0,1581,7.5,11,0.2,150194,270788,55.5
"2021-06-14","Madrid",370338,100.0,503317,95.7,673659,95.8,801148,82.4,229719,19.7,182271,13.5,35689,7.4,493,0.4,2796634,5695623,49.1
"2021-06-14","Murcia",73129,100.0,100363,97.5,131976,89.8,178630,83.8,106435,41.9,32915,11.1,7890,6.6,156,0.4,631494,1237479,51.0
"2021-06-14","Navarra",42348,100.0,55552,99.6,70241,95.1,88459,91.5,45378,42.0,16084,14.0,4000,8.2,15,0.1,322077,552935,58.2
"2021-06-14","País Vasco",161863,100.0,209829,98.5,271568,96.9,284501,83.7,76688,21.2,52816,14.6,13366,9.5,58,0.1,1070689,1898123,56.4
"2021-06-14","Ceuta",2359,90.6,3769,87.3,6993,89.0,9659,83.6,9008,71.3,3451,19.8,600,7.9,11,0.5,35850,66158,54.2
"2021-06-14","Melilla",1939,82.5,3153,84.1,6458,82.5,8360,74.0,7921,66.0,3098,17.1,331,3.9,7,0.3,31267,66178,47.2
"2021-06-14","España",2911010,100.0,3879820,98.0,4944295,92.6,5837506,83.0,2494157,31.6,1157717,13.1,246902,7.5,3381,0.4,21474788,40129822,53.5
"2021-06-15","Andalucía",430656,100.0,642216,98.7,854893,93.3,1090542,86.2,584445,42.2,203540,12.5,43113,6.9,630,0.3,3850035,7062213,54.5
"2021-06-15","Aragón",100589,100.0,117695,98.9,147423,94.3,166866,84.2,85633,39.8,34456,14.9,7753,8.7,79,0.3,660494,1132764,58.3
"2021-06-15","Asturias",88294,100.0,113088,100.0,140524,93.9,139110,85.5,78642,47.1,21267,13.7,4846,8.9,63,0.4,585834,901209,65.0
"2021-06-15","Baleares",50593,100.0,76961,95.6,98337,83.9,126639,76.4,95533,46.3,28282,11.0,4637,5.4,48,0.2,481030,986279,48.8
"2021-06-15","Canarias",91115,100.0,146830,95.0,205698,87.5,263647,75.2,155386,40.1,60708,13.7,8773,5.4,132,0.3,932289,1871033,49.8
"2021-06-15","Cantabria",42105,100.0,55479,100.0,72859,94.2,73221,81.4,27141,27.8,12934,13.4,1910,5.5,21,0.2,285670,501384,57.0
