"fecha","Comunidad","vac_80+","pobl_80+","por_80+","vac_70-79","pobl_70-79","por_70-79","vac_60-69","pobl_60-69","por_60-69","vac_50-59","pobl_50-59","por_50-59","vac_25-49","pobl_25-49","por_25-49","vac_18-24","pobl_18-24","por_18-24","vac_16-17","pobl_16-17","por_16-17","tot_vac","pobl_tot","por_tot"
"2021-04-05","Navarra",33340,41166,81.0,1892,55792,3.4,5342,73844,7.2,12651,96694,13.1,25323,223028,11.4,3199,48505,6.6,4,13906,0.0,81751,552935,14.8
"2021-04-05","País Vasco",98754,157950,62.5,4108,213081,1.9,21099,280119,7.5,45257,339977,13.3,85442,724849,11.8,10771,140323,7.7,6,41824,0.0,265437,1898123,14.0
"2021-04-05","Ceuta",2072,2605,79.5,1154,4318,26.7,607,7857,7.7,1516,11556,13.1,3372,30066,11.2,262,7581,3.5,0,2175,0.0,8983,66158,13.6
"2021-04-05","Melilla",1531,2349,65.2,1575,3748,42.0,760,7827,9.7,1496,11299,13.2,3213,30095,10.7,190,8536,2.2,6,2324,0.3,8771,66178,13.3
"2021-04-05","España",2241616,2834024,79.1,198246,3960045,5.0,686301,5336986,12.9,822495,7033306,11.7,1778611,16706113,10.6,162511,3310299,4.9,1108,949049,0.1,5890888,40129822,14.7
"2021-04-06","Andalucía",398827,413516,96.4,47996,650381,7.4,101365,916147,11.1,137105,1265021,10.8,320811,3009381,10.7,26233,625846,4.2,163,181921,0.1,1032500,7062213,14.6
"2021-04-06","Aragón",75454,98807,76.4,3752,118955,3.2,14735,156367,9.4,25077,198266,12.6,48713,446083,10.9,5621,89180,6.3,28,25106,0.1,173380,1132764,15.3
"2021-04-06","Asturias",75946,87826,86.5,4451,109249,4.1,28498,149652,19.0,20275,162645,12.5,29933,322095,9.3,2888,54179,5.3,30,15563,0.2,162021,901209,18.0
"2021-04-06","Baleares",39827,49542,80.4,2358,80516,2.9,19447,117231,16.6,20099,165797,12.1,41754,464054,9.0,3550,85839,4.1,32,23300,0.1,127067,986279,12.9
"2021-04-06","Canarias",59148,90236,65.5,17523,154531,11.3,46304,235092,19.7,26820,350512,7.7,64024,832411,7.7,5611,163899,3.4,31,44352,0.1,219461,1871033,11.7
"2021-04-06","Cantabria",34898,41042,85.0,2092,53066,3.9,5640,77345,7.3,10927,89964,12.1,22146,194241,11.4,1538,34935,4.4,5,10791,0.0,77246,501384,15.4
"2021-04-06","Castilla y Leon",173245,223657,77.5,17978,245410,7.3,42489,318575,13.3,51743,381175,13.6,83760,738950,11.3,7165,144422,5.0,90,40684,0.2,376470,2092873,18.0
"2021-04-06","Castilla la Mancha",108561,135194,80.3,7174,159101,4.5,37667,218444,17.2,41794,307478,13.6,72538,707865,10.2,5664,149518,3.8,91,42364,0.2,273489,1719964,15.9
"2021-04-06","Cataluña",315877,447196,70.6,40698,635292,6.4,217112,837584,25.9,125134,1091780,11.5,283624,2803626,10.1,34009,556316,6.1,285,159864,0.2,1016739,6531658,15.6
"2021-04-06","C. Valenciana",250942,276531,90.7,15556,437862,3.6,38551,580728,6.6,88697,752334,11.8,196872,1765967,11.1,17161,352834,4.9,110,103049,0.1,607889,4269305,14.2
"2021-04-06","Extremadura",68561,76005,90.2,6239,91876,6.8,27591,125297,22.0,21351,169216,12.6,40416,351778,11.5,2078,76088,2.7,42,20953,0.2,166278,911213,18.2
"2021-04-06","Galicia",198632,234302,84.8,5142,289762,1.8,20817,346927,6.0,61342,405889,15.1,92732,889004,10.4,4274,152745,2.8,3,44014,0.0,382942,2362643,16.2
"2021-04-06","La Rioja",16151,22207,72.7,738,28125,2.6,7729,37718,20.5,6518,47664,13.7,12754,107618,11.9,1252,21170,5.9,8,6286,0.1,45150,270788,16.7
"2021-04-06","Madrid",255381,364122,70.1,31881,526081,6.1,124129,703323,17.6,102874,972783,10.6,265200,2513737,10.6,21536,479716,4.5,89,135861,0.1,801090,5695623,14.1
"2021-04-06","Murcia",60463,69771,86.7,2983,102899,2.9,18355,146909,12.5,24941,213256,11.7,58001,551265,10.5,6991,118667,5.9,103,34712,0.3,171837,1237479,13.9
